Week,Day,Date,Visitor,Home,Time_ET,TV
1,Thursday,September 04 2025,Dallas Cowboys,Philadelphia Eagles,8:20p,NBC
1,Sunday,September 07 2025,Kansas City Chiefs,Los Angeles Chargers,8:00p,YouTube
1,Sunday,September 07 2025,Tampa Bay Buccaneers,Atlanta Falcons,1:00p,FOX
1,Sunday,September 07 2025,Cincinnati Bengals,Cleveland Browns,1:00p,FOX
1,Sunday,September 07 2025,Miami Dolphins,Indianapolis Colts,1:00p,CBS
1,Sunday,September 07 2025,Carolina Panthers,Jacksonville Jaguars,1:00p,FOX
1,Sunday,September 07 2025,Las Vegas Raiders,New England Patriots,1:00p,CBS
1,Sunday,September 07 2025,Arizona Cardinals,New Orleans Saints,1:00p,CBS
1,Sunday,September 07 2025,Pittsburgh Steelers,New York Jets,1:00p,CBS
1,Sunday,September 07 2025,New York Giants,Washington Commanders,1:00p,FOX
1,Sunday,September 07 2025,Tennessee Titans,Denver Broncos,4:05p,FOX
1,Sunday,September 07 2025,San Francisco 49ers,Seattle Seahawks,4:05p,FOX
1,Sunday,September 07 2025,Detroit Lions,Green Bay Packers,4:25p,CBS
1,Sunday,September 07 2025,Houston Texans,Los Angeles Rams,4:25p,CBS
1,Sunday,September 07 2025,Baltimore Ravens,Buffalo Bills,8:20p,NBC
1,Monday,September 08 2025,Minnesota Vikings,Chicago Bears,8:15p,ABC/ESPN
2,Thursday,September 11 2025,Washington Commanders,Green Bay Packers,8:15p,Prime Video
2,Sunday,September 14 2025,Cleveland Browns,Baltimore Ravens,1:00p,CBS
2,Sunday,September 14 2025,Jacksonville Jaguars,Cincinnati Bengals,1:00p,CBS
2,Sunday,September 14 2025,New York Giants,Dallas Cowboys,1:00p,FOX
2,Sunday,September 14 2025,Chicago Bears,Detroit Lions,1:00p,FOX
2,Sunday,September 14 2025,New England Patriots,Miami Dolphins,1:00p,CBS
2,Sunday,September 14 2025,San Francisco 49ers,New Orleans Saints,1:00p,FOX
2,Sunday,September 14 2025,Buffalo Bills,New York Jets,1:00p,CBS
2,Sunday,September 14 2025,Seattle Seahawks,Pittsburgh Steelers,1:00p,FOX
2,Sunday,September 14 2025,Los Angeles Rams,Tennessee Titans,1:00p,CBS
2,Sunday,September 14 2025,Carolina Panthers,Arizona Cardinals,4:05p,CBS
2,Sunday,September 14 2025,Denver Broncos,Indianapolis Colts,4:05p,CBS
2,Sunday,September 14 2025,Philadelphia Eagles,Kansas City Chiefs,4:25p,FOX
2,Sunday,September 14 2025,Atlanta Falcons,Minnesota Vikings,8:20p,NBC
2,Monday,September 15 2025,Tampa Bay Buccaneers,Houston Texans,7:00p,ABC
2,Monday,September 15 2025,Los Angeles Chargers,Las Vegas Raiders,10:00p,ESPN
