Rank,Player,Team,Jersey,Overall_Grade,Coverage_Grade,Run_Defense_Grade,Tackling_Grade,Snaps,Coverage_Snaps,Run_Defense_Snaps,Passing_Snaps,Age,Status,Height,Weight,College,Draft_Year,Draft_Round,Draft_Pick,Rank,Player,Team,Jersey,Overall_Grade
1,Cooper DeJean,PHI,33,86.3,90.4,58.7,84.2,881,261,14,606,22.2,A,"6' 1""",207,IOWA,2024,2,40,1,Cooper DeJean,PHI,33,86.3
2,Pat Surtain II,DEN,2,83.8,81.8,42.2,85.1,1054,369,3,682,25.0,A,"6' 2""",202,ALABAMA,2021,1,9,2,Pat Surtain II,DEN,2,83.8
3,Garrett Williams,ARZ,21,82.0,65.1,64.0,83.7,778,254,10,514,23.9,A,"5' 10""",192,SYRACUSE,2023,3,73,3,Garrett Williams,ARZ,21,82.0
3,Trent McDuffie,KC,22,82.0,81.6,88.6,79.2,1206,433,23,750,24.6,A,"5' 11""",193,WASHINGTON,2022,1,21,3,Trent McDuffie,KC,22,82.0
5,Derek Stingley Jr.,HST,24,80.4,55.9,,84.4,1119,410,,709,23.8,A,"6' 0""",190,LSU,2022,1,3,5,Derek Stingley Jr.,HST,24,80.4
6,Christian Benford,BUF,47,79.3,71.3,71.0,78.6,1046,389,4,653,24.6,A,"6' 1""",205,VILLANOVA,2022,6,185,6,Christian Benford,BUF,47,79.3
7,Marlon Humphrey,BLT,44,79.0,70.4,68.9,81.0,1000,319,41,640,28.8,A,"6' 0""",201,ALABAMA,2017,1,16,7,Marlon Humphrey,BLT,44,79.0
8,Quinyon Mitchell,PHI,27,78.5,69.2,,79.2,1158,394,,764,23.8,A,"6' 0""",196,TOLEDO,2024,1,22,8,Quinyon Mitchell,PHI,27,78.5
9,Andru Phillips,NYG,22,77.5,78.1,66.9,75.8,614,261,18,335,23.4,A,"6' 0""",187,KENTUCKY,2024,3,70,9,Andru Phillips,NYG,22,77.5
10,Jalen Ramsey,MIA,5,76.9,85.7,76.5,71.9,1027,373,47,607,30.5,A,"6' 1""",208,FLORIDA ST,2016,1,5,10,Jalen Ramsey,MIA,5,76.9
