Rank,Player,Team,Number,Overall_Grade,Pass_Blocking_Grade,Run_Blocking_Grade,Total_Snaps,Pass_Snaps,Run_Snaps,Age,Status,Height,Weight,College,Draft_Year,Draft_Round,Draft_Pick,Rank,Name,Team,Number,Overall_Grade,Pass_Blocking_Grade,Run_Blocking_Grade
1,Chris Lindstrom,ATL,63,93.5,68.0,94.6,1099,627,472,28.1,A,"6' 3""",307,BOSTON COL,2019,1,14,1,Chris Lindstrom,ATL,63,93.5,68.0,94.6
2,Quinn Meinerz,DEN,77,87.3,81.4,85.7,1131,711,420,26.4,A,"6' 3""",320,WISCONSIN - WHITEWATER,2021,3,99,2,Quinn Meinerz,DEN,77,87.3,81.4,85.7
3,Kevin Zeitler,TEN,70,86.5,70.7,87.2,1047,577,470,35.1,A,"6' 4""",340,WISCONSIN,2012,1,27,3,Kevin Zeitler,TEN,70,86.5,70.7,87.2
4,Quenton Nelson,IND,56,81.3,79.7,81.7,1083,608,475,29.1,A,"6' 5""",330,NOTRE DAME,2018,1,6,4,Quenton Nelson,IND,56,81.3,79.7,81.7
5,Jordan Meredith,LV,61,80.8,75.7,78.4,574,399,175,0.0,A,"6' 3""",300,W KENTUCKY,2021,,,5,Jordan Meredith,LV,61,80.8,75.7,78.4
6,Dominick Puni,SF,77,80.5,68.9,81.5,1078,656,422,23.5,A,"6' 5""",320,KANSAS,2024,3,87,6,Dominick Puni,SF,77,80.5,68.9,81.5
7,Joe Thuney,CHI,62,80.0,80.0,74.1,1288,829,459,32.4,A,"6' 5""",304,NC STATE,2016,3,78,7,Joe Thuney,CHI,62,80.0,80.0,74.1
8,Landon Dickerson,PHI,69,78.6,70.5,79.4,1231,608,623,26.5,A,"6' 6""",332,ALABAMA,2021,2,37,8,Landon Dickerson,PHI,69,78.6,70.5,79.4
9,Alijah Vera-Tucker,NYJ,75,77.7,74.5,76.3,916,619,297,25.8,A,"6' 5""",308,USC,2021,1,14,9,Alijah Vera-Tucker,NYJ,75,77.7,74.5,76.3
9,Kevin Dotson,LA,69,77.7,60.2,81.7,1145,668,477,28.6,A,"6' 4""",321,LA LAFAYET,2020,4,135,9,Kevin Dotson,LA,69,77.7,60.2,81.7
11,John Simpson,NYJ,76,77.3,72.3,79.2,1020,682,338,27.7,A,"6' 4""",330,CLEMSON,2020,4,109,11,John Simpson,NYJ,76,77.3,72.3,79.2
12,Damien Lewis,CAR,68,75.5,72.0,76.9,942,616,326,28.1,A,"6' 3""",332,LSU,2020,3,69,12,Damien Lewis,CAR,68,75.5,72.0,76.9
13,Teven Jenkins,CLV,0,75.4,75.8,74.3,738,495,243,27.1,A,"6' 6""",321,OKLA STATE,2021,2,39,13,Teven Jenkins,CLV,0,75.4,75.8,74.3
14,Trey Smith,KC,65,75.1,65.7,77.9,1288,829,459,25.8,A,"6' 6""",321,TENNESSEE,2021,6,227,14,Trey Smith,KC,65,75.1,65.7,77.9
15,Tyler Smith,DAL,73,75.0,76.0,73.8,1052,682,370,24.0,A,"6' 6""",332,TULSA,2022,1,24,15,Tyler Smith,DAL,73,75.0,76.0,73.8
16,Cody Mauch,TB,69,74.6,77.2,68.4,1178,722,456,26.3,A,"6' 5""",302,N DAK ST,2023,2,49,16,Cody Mauch,TB,69,74.6,77.2,68.4
17,Dylan Parham,LV,66,74.3,67.5,75.6,882,591,291,25.7,A,"6' 3""",285,MEMPHIS,2022,3,90,17,Dylan Parham,LV,66,74.3,67.5,75.6
18,Trystan Colon,ARZ,63,71.0,65.9,68.5,386,215,171,27.1,A,"6' 4""",313,MISSOURI,2020,,,18,Trystan Colon,ARZ,63,71.0,65.9,68.5
19,Matthew Bergeron,ATL,65,70.9,68.5,73.1,1106,618,488,25.1,A,"6' 5""",323,SYRACUSE,2023,2,39,19,Matthew Bergeron,ATL,65,70.9,68.5,73.1
20,Mekhi Becton,LAC,73,70.8,60.5,70.3,1158,570,588,26.0,A,"6' 7""",363,LOUISVILLE,2020,1,11,20,Mekhi Becton,LAC,73,70.8,60.5,70.3
21,Matt Pryor,PHI,79,69.9,78.1,65.9,1005,659,346,30.3,A,"6' 7""",332,TCU,2018,6,206,21,Matt Pryor,PHI,79,69.9,78.1,65.9
22,Dalton Risner,MIN,66,68.1,76.1,58.8,611,398,213,29.8,A,"6' 5""",312,KANSAS ST,2019,2,41,22,Dalton Risner,MIN,66,68.1,76.1,58.8
23,Sam Cosmi,WAS,76,67.8,74.3,64.8,1259,762,497,26.2,A,"6' 7""",309,TEXAS,2021,2,51,23,Sam Cosmi,WAS,76,67.8,74.3,64.8
24,Robert Hunt,CAR,50,67.7,57.5,72.0,966,623,343,28.6,A,"6' 6""",335,LA LAFAYET,2020,2,39,24,Robert Hunt,CAR,50,67.7,57.5,72.0
