Rank,Player,Team,Jersey,Overall,Run_Defense,Pass_Rush,Coverage,Snaps,Run_Snaps,Pass_Rush_Snaps,Coverage_Snaps,Age,Status,Height,Weight,Speed,College,Draft_Year,Draft_Round,Draft_Pick,Rank,Player,Team
1,Zack Baun,PHI,53,90.1,79.4,74.2,90.9,1204,402,108,694,28.3,A,"6' 3""",225,,WISCONSIN,2020,3,74,1,Zack Baun,PHI
2,Fred Warner,SF,54,89.2,82.1,63.4,88.4,997,432,37,528,28.4,A,"6' 3""",230,4.6,BYU,2018,3,70,2,Fred Warner,SF
3,Bobby Wagner,WAS,54,88.3,91.2,90.9,63.8,1258,533,115,610,34.8,A,"6' 0""",241,,UTAH ST,2012,2,47,3,Bobby Wagner,WAS
4,Oren Burks,CIN,42,86.0,77.1,72.3,82.4,377,119,17,241,30.1,A,"6' 3""",233,4.6,VANDERBILT,2018,3,88,4,Oren Burks,CIN
5,Edgerrin Cooper,GB,56,85.7,77.4,90.0,77.3,549,219,56,274,23.4,A,"6' 3""",230,,TEXAS A&M,2024,2,45,5,Edgerrin Cooper,GB
6,Leo Chenal,KC,54,81.6,90.1,56.3,69.6,523,238,122,163,24.5,A,"6' 3""",250,,WISCONSIN,2022,3,103,6,Leo Chenal,KC
7,Jeremiah Owusu-Koramoah,CLV,6,80.6,91.7,77.0,52.3,460,196,57,207,25.5,A,"6' 2""",221,,NOTRE DAME,2021,2,52,7,Jeremiah Owusu-Koramoah,CLV
8,Elandon Roberts,LV,52,79.7,91.0,66.7,49.6,525,291,49,185,31.0,A,"6' 1""",238,,HOUSTON,2016,6,214,8,Elandon Roberts,LV
9,Devin Bush,CLV,30,79.2,86.4,77.5,57.9,497,273,29,195,26.8,A,"5' 11""",234,,MICHIGAN,2019,1,10,9,Devin Bush,CLV
10,Jack Campbell,DET,46,78.7,82.5,53.2,74.2,1047,357,125,565,24.7,A,"6' 5""",243,4.7,IOWA,2023,1,18,10,Jack Campbell,DET
11,Jordan Hicks,CLV,58,77.4,77.7,72.4,70.0,602,252,44,306,32.8,A,"6' 1""",236,4.7,TEXAS,2015,3,84,11,Jordan Hicks,CLV
12,Nakobe Dean,PHI,17,77.3,82.5,82.1,62.3,880,325,68,487,24.3,A,"5' 11""",231,,GEORGIA,2022,3,83,12,Nakobe Dean,PHI
13,Devin Lloyd,JAX,0,76.7,84.2,88.0,62.6,884,394,29,461,26.5,A,"6' 3""",235,,UTAH,2022,1,27,13,Devin Lloyd,JAX
14,Eric Kendricks,DAL,50,75.2,78.3,78.5,62.7,918,384,57,477,33.1,A,"6' 0""",232,4.6,UCLA,2015,2,45,14,Eric Kendricks,DAL
15,Bobby Okereke,NYG,58,74.9,71.8,83.2,68.2,734,313,35,386,28.7,A,"6' 1""",235,,STANFORD,2019,3,89,15,Bobby Okereke,NYG
16,Payton Wilson,PIT,41,74.7,62.0,65.0,77.3,520,157,39,324,25.0,A,"6' 4""",238,,NC STATE,2024,3,99,16,Payton Wilson,PIT
17,Malcolm Rodriguez,DET,44,74.4,87.1,54.9,65.4,318,97,51,170,26.1,A,"5' 11""",234,,OKLA STATE,2022,6,188,17,Malcolm Rodriguez,DET
18,Jamien Sherwood,NYJ,44,73.8,77.1,68.1,66.2,1063,465,40,558,0.0,A,"6' 2""",216,,AUBURN,2021,5,147,18,Jamien Sherwood,NYJ
19,Demario Davis,NO,56,73.2,80.2,66.0,63.4,1090,430,64,596,36.3,A,"6' 2""",248,4.6,ARK STATE,2012,3,77,19,Demario Davis,NO
20,Christian Elliss,NE,53,72.6,70.1,73.9,66.1,514,199,49,266,0.0,A,"6' 3""",231,,IDAHO,2021,,,20,Christian Elliss,NE
21,Logan Wilson,CIN,55,72.4,90.0,55.8,57.0,743,297,75,371,28.8,A,"6' 2""",245,,WYOMING,2020,3,65,21,Logan Wilson,CIN
