Rank,Player,Team,Jersey,Overall,Passing,Rushing,Receiving,PassBlock,RunBlock,Snaps,Passes,Rushes,Receptions,PassBlocks,RunBlocks,Age,GradeLevel,Height,Weight,Speed,College,DraftYear,DraftRound,DraftPick
1,Lamar Jackson,BLT,8,94.9,93.3,90.4,,,60.9,1207,635,116,,,456,28.3,A,"6' 2""",215,,LOUISVILLE,2018,1,32
2,Joe Burrow,CIN,9,93.9,92.8,74.8,,,60.1,1131,775,20,,,336,28.3,A,"6' 4""",215,,LSU,2020,1,1
3,Josh Allen,BUF,17,91.9,84.1,93.6,,,60.1,1171,686,89,,,396,28.9,A,"6' 5""",237,4.8,WYOMING,2018,1,7
4,Justin Herbert,LAC,10,91.2,90.2,72.4,,,60.1,1100,662,39,,,399,27.1,A,"6' 6""",236,,OREGON,2020,1,6
5,Jayden Daniels,WAS,5,90.6,84.7,90.0,58.4,,60.5,1279,781,100,1,,397,24.3,A,"6' 4""",210,,LSU,2024,1,2
6,Baker Mayfield,TB,6,85.9,83.6,70.9,,,60.0,1168,721,21,,,426,30.0,A,"6' 1""",215,4.8,OKLAHOMA,2018,1,1
7,Derek Carr,NO,4,85.6,86.7,48.6,56.6,,62.1,604,319,9,3,,273,34.1,A,"6' 3""",215,4.7,FRESNO ST,2014,2,36
8,Patrick Mahomes,KC,15,83.9,78.6,87.0,,,60.4,1277,825,29,,,423,29.6,A,"6' 2""",225,4.8,TEXAS TECH,2017,1,10
9,Geno Smith,LV,7,82.5,81.9,62.6,58.9,,60.0,1072,704,29,1,,338,34.5,A,"6' 3""",221,4.6,W VIRGINIA,2013,2,39
10,Brock Purdy,SF,13,82.4,76.3,90.2,57.7,60.9,60.0,944,567,23,2,1,351,25.3,A,"6' 1""",220,,IOWA STATE,2022,7,263
11,Kyler Murray,ARZ,1,82.1,77.9,81.8,,,60.6,1065,656,40,,,369,27.7,A,"5' 10""",207,,OKLAHOMA,2019,1,1
12,Jalen Hurts,PHI,1,81.6,71.0,91.1,,,60.1,1189,590,142,,,457,26.7,A,"6' 1""",223,,OKLAHOMA,2020,2,53
13,Sam Darnold,SEA,14,80.7,77.5,82.5,55.2,61.3,60.1,1184,725,44,2,1,412,27.9,A,"6' 3""",225,4.8,USC,2018,1,3
14,C.J. Stroud,HST,7,79.9,77.5,73.3,55.7,,60.0,1174,742,19,3,,410,23.5,A,"6' 3""",218,,OHIO STATE,2023,1,2
15,Russell Wilson,NYG,3,79.5,77.5,68.7,,,60.0,760,444,25,,,291,36.4,A,"5' 11""",215,4.5,WISCONSIN,2012,3,75
16,Jared Goff,DET,16,78.8,76.3,66.4,88.6,78.0,60.0,1178,648,21,3,2,504,30.5,A,"6' 4""",217,4.8,CAL,2016,1,1
17,Bo Nix,DEN,10,78.3,73.8,81.2,90.3,,60.0,1129,712,43,2,,372,25.1,A,"6' 2""",217,,OREGON,2024,1,12
18,Aaron Rodgers,NYJ,8,77.8,76.3,71.9,60.0,,60.6,1031,684,6,1,,340,41.4,A,"6' 2""",223,4.7,CAL,2005,1,24
19,Trevor Lawrence,JAX,16,76.8,73.8,75.6,,,60.0,536,332,13,,,191,25.5,A,"6' 6""",220,,CLEMSON,2021,1,1
20,Jordan Love,GB,10,75.8,74.3,58.0,,,60.3,932,528,14,,,390,26.5,A,"6' 4""",219,,UTAH ST,2020,1,26
