Rank,Player,Team,Number,Overall_Grade,Coverage_Grade,Run_Defense_Grade,Tackling_Grade,Snaps,Coverage_Snaps,Run_Defense_Snaps,Passing_Snaps,Age,Status,Height,Weight,College,Draft_Year,Draft_Round,Draft_Pick,Rank,Player,Team,Number
1,Kerby Joseph,DET,31,90.4,83.6,61.8,91.1,1158,371,6,781,24.4,A,"6' 1""",203,ILLINOIS,2022,3,97,1,Kerby Joseph,DET,31
2,Kyle Hamilton,BLT,14,90.0,89.2,88.1,88.4,1150,380,46,724,24.1,A,"6' 4""",220,NOTRE DAME,2022,1,14,2,Kyle Hamilton,BLT,14
3,Brandon Jones,DEN,22,84.8,72.4,67.7,89.8,1042,353,18,671,27.0,A,"6' 1""",191,TEXAS,2020,3,70,3,Brandon Jones,DEN,22
4,Xavier McKinney,GB,29,84.7,67.0,72.5,90.2,1125,432,15,678,25.7,A,"6' 0""",201,ALABAMA,2020,2,36,4,Xavier McKinney,GB,29
5,Brian Branch,DET,32,83.7,90.8,88.0,77.8,982,323,37,622,23.5,A,"6' 0""",203,ALABAMA,2023,2,46,5,Brian Branch,DET,32
6,Jabrill Peppers,NE,5,82.3,74.7,46.3,81.7,372,149,15,208,29.5,A,"5' 11""",217,MICHIGAN,2017,1,25,6,Jabrill Peppers,NE,5
7,Julian Love,SEA,20,81.2,89.5,54.4,76.1,1079,408,13,658,27.1,A,"5' 11""",195,NOTRE DAME,2019,4,108,7,Julian Love,SEA,20
8,Ar'Darius Washington,BLT,29,80.9,63.1,50.8,86.1,830,255,16,559,0.0,A,"5' 8""",177,TCU,2021,,,8,Ar'Darius Washington,BLT,29
9,Derwin James Jr.,LAC,3,80.8,87.9,75.2,76.3,1059,385,79,595,28.7,A,"6' 2""",215,FLORIDA ST,2018,1,17,9,Derwin James Jr.,LAC,3
10,Jessie Bates III,ATL,3,80.2,80.4,51.6,81.4,1095,414,10,671,28.5,A,"6' 1""",200,WAKE,2018,2,54,10,Jessie Bates III,ATL,3
