Rank,Player,Team,Jersey,Overall,Pass_Block,TE,QB,Pass_Grade,Run_Grade,Snaps,Pos Snaps,TE_Snaps,QB_Snaps,Pass_Snaps,Run_Snaps,Age,Active,Height,Weight,40Time,College,Draft_Year,Draft_Round,Draft_Pick
1,Jordan Mailata,PHI,68,95.2,-,-,-,90.8,94.6,1069,—,—,—,530,539,28.0,A,"6' 8""",365,,NO COLLEGE,2018,7,233
2,Rashawn Slater,LAC,70,90.9,-,-,-,89.9,82.3,959,—,—,—,586,373,26.1,A,"6' 4""",315,,NWESTERN,2021,1,13
3,Penei Sewell,DET,58,89.6,60.0,-,83.9,75.4,91.5,1213,1,—,0,664,548,24.5,A,"6' 5""",335,,OREGON,2021,1,7
4,Terron Armstead,MIA,72,89.4,-,-,-,84.8,83.4,821,—,—,—,501,320,33.7,A,"6' 5""",305,4.7,ARKAPB,2013,3,75
5,Lane Johnson,PHI,65,88.9,-,-,-,88.7,85.4,1190,—,—,—,574,616,34.9,A,"6' 6""",325,4.7,OKLAHOMA,2013,1,4
6,Zach Tom,GB,50,85.8,-,-,-,81.0,87.7,1134,—,—,—,603,531,26.1,A,"6' 4""",304,,WAKE,2022,4,140
7,Trent Williams,SF,71,85.6,-,-,-,84.5,81.4,649,—,—,—,381,268,36.7,A,"6' 5""",320,4.8,OKLAHOMA,2010,1,4
8,Bernhard Raimann,IND,79,85.1,-,-,-,82.0,80.7,856,—,—,—,471,385,27.6,A,"6' 6""",303,,C MICHIGAN,2022,3,77
9,Charles Cross,SEA,67,82.5,-,-,-,81.3,77.9,1094,—,—,—,724,370,24.4,A,"6' 5""",307,,MISS STATE,2022,1,9
9,Tristan Wirfs,TB,78,82.5,-,-,-,94.1,62.8,1061,—,—,—,664,397,26.2,A,"6' 5""",320,,IOWA,2020,1,13
11,Christian Darrisaw,MIN,71,81.4,-,-,-,79.9,82.3,392,—,—,—,231,161,25.9,A,"6' 5""",315,,VA TECH,2021,1,23
12,Paris Johnson Jr.,ARZ,70,80.8,-,-,-,78.1,73.8,865,—,—,—,515,350,23.8,A,"6' 6""",313,,OHIO STATE,2023,1,6
13,Kolton Miller,LV,74,80.6,-,-,-,82.2,71.7,1075,—,—,—,716,359,29.6,A,"6' 8""",325,5.0,UCLA,2018,1,15
14,Garett Bolles,DEN,72,80.0,-,-,-,88.2,72.8,1111,—,—,—,700,411,32.9,A,"6' 5""",300,5.0,UTAH,2017,1,20
15,Jake Matthews,ATL,70,79.8,-,-,-,85.4,70.1,1119,—,—,—,636,483,33.2,A,"6' 5""",309,5.1,TEXAS A&M,2014,1,6
16,Darnell Wright,CHI,58,79.3,-,-,-,75.4,82.2,1021,—,—,—,662,359,23.7,A,"6' 5""",335,5.0,TENNESSEE,2023,1,10
16,Brian O'Neill,MIN,75,79.3,-,-,-,79.7,74.1,1151,—,—,—,699,452,29.6,A,"6' 7""",310,4.8,PITTSBURGH,2018,2,62
18,Alaric Jackson,LA,77,78.4,-,-,-,79.2,75.2,1017,—,—,—,583,434,26.8,A,"6' 7""",285,,IOWA,2021,,
19,Laremy Tunsil,WAS,78,78.1,-,-,-,89.1,74.0,1167,—,—,—,745,422,30.7,A,"6' 5""",313,,OLE MISS,2016,1,13
20,Spencer Brown,BUF,79,77.9,-,-,-,77.3,83.5,1140,—,—,—,636,504,27.1,A,"6' 8""",311,,N IOWA,2021,3,94
21,Braxton Jones,CHI,70,77.4,-,-,-,80.8,70.2,719,—,—,—,471,248,26.1,A,"6' 5""",310,,SO UTAH,2022,5,168
22,Taylor Moton,CAR,72,77.2,-,-,-,79.8,66.9,846,—,—,—,538,308,30.7,A,"6' 5""",325,5.2,W MICHIGAN,2017,2,64
22,Taylor Decker,DET,68,77.2,-,-,58.1,78.0,70.3,963,—,—,1,536,426,30.7,A,"6' 7""",318,5.2,OHIO STATE,2016,1,16
24,Joe Alt,LAC,76,75.9,-,-,-,78.1,69.5,1066,—,—,—,641,425,22.1,A,"6' 8""",322,,NOTRE DAME,2024,1,5
25,Rob Havenstein,LA,79,75.8,-,-,-,68.3,79.6,805,—,—,—,442,363,32.9,A,"6' 8""",330,5.5,WISCONSIN,2015,2,57
26,Andrew Thomas,NYG,78,75.4,-,-,-,71.8,73.8,416,—,—,—,261,155,26.2,A,"6' 5""",315,,GEORGIA,2020,1,4
27,Luke Goedeke,TB,67,74.2,-,-,-,76.8,75.7,952,—,—,—,568,384,26.4,A,"6' 5""",312,,C MICHIGAN,2022,2,57
28,Cornelius Lucas,CLV,0,74.1,-,-,-,79.1,66.7,464,—,—,—,273,191,33.8,A,"6' 8""",327,,KANSAS ST,2014,,
29,Kaleb McGary,ATL,76,73.8,-,-,-,63.8,77.6,1042,—,—,—,576,466,30.2,A,"6' 6""",306,,WASHINGTON,2019,1,31
30,Tyron Smith,NYJ,77,73.7,-,-,-,72.3,72.4,592,—,—,—,386,206,34.3,A,"6' 5""",320,,USC,2011,1,9
31,Walker Little,JAX,72,72.8,-,-,-,73.5,72.3,508,—,—,—,316,192,26.0,A,"6' 7""",325,,STANFORD,2021,2,45
32,Kendall Lamm,PHI,74,72.7,-,-,-,83.1,53.7,512,—,—,—,336,176,32.9,A,"6' 5""",310,,APP STATE,2015,,
