Rank,Player,Team,Jersey,Overall,Passing,Rushing,Receiving,PassBlock,RunBlock,Snaps,Passes,Rushes,Receptions,PassBlocks,RunBlocks,Age,GradeLevel,Height,Weight,Speed,College,DraftYear,DraftRound,DraftPick
1,George Kittle,SF,85,92.1,-,-,92.4,62.8,70.8,808,—,—,442,58,308,31.5,A,"6' 4""",250,4.5,IOWA,2017,5,146
2,Trey McBride,ARZ,85,86.8,-,63.8,89.8,70.5,63.4,934,—,1,576,8,349,25.4,A,"6' 3""",246,,COLO STATE,2022,2,55
3,Brock Bowers,LV,89,85.1,-,56.8,88.4,51.6,56.1,956,—,5,631,33,287,22.3,A,"6' 4""",240,,GEORGIA,2024,1,13
4,Mark Andrews,BLT,89,83.1,-,86.6,84.6,58.7,54.7,769,—,9,432,28,300,28.6,A,"6' 5""",247,4.7,OKLAHOMA,2018,3,86
5,Jonnu Smith,MIA,9,78.2,-,57.0,84.0,69.6,40.5,626,—,2,478,26,120,29.7,A,"6' 3""",248,4.6,FIU,2017,3,100
6,Austin Hooper,NE,81,75.8,-,-,75.5,68.4,65.9,574,—,—,313,22,239,30.5,A,"6' 4""",254,4.7,STANFORD,2016,3,81
7,Isaiah Likely,BLT,80,75.6,-,-,77.0,35.3,64.3,732,—,—,370,19,343,25.0,A,"6' 4""",241,,COAST CAR,2022,4,139
8,T.J. Hockenson,MIN,87,74.8,-,-,78.9,62.0,47.6,467,—,—,358,8,101,27.8,A,"6' 5""",248,,IOWA,2019,1,8
9,Josh Oliver,MIN,84,74.3,-,-,67.4,62.5,73.0,572,—,—,202,52,318,28.1,A,"6' 5""",259,,S JOSE ST,2019,3,69
10,Sam LaPorta,DET,87,73.6,-,-,79.1,57.7,55.1,976,—,—,512,49,415,24.3,A,"6' 3""",245,4.6,IOWA,2023,2,35
11,Dallas Goedert,PHI,88,72.6,-,59.5,75.8,62.6,57.1,680,—,2,348,10,320,30.3,A,"6' 5""",256,,S DAK ST,2018,2,49
12,Evan Engram,DEN,1,72.5,-,-,70.2,81.2,70.3,363,—,—,253,9,101,30.6,A,"6' 3""",240,4.4,OLE MISS,2017,1,23
13,Travis Kelce,KC,87,71.7,-,-,72.2,53.2,59.6,1092,—,—,718,37,337,35.5,A,"6' 5""",250,,CINCINNATI,2013,3,63
14,Dalton Kincaid,BUF,86,71.5,-,-,71.1,69.8,61.5,562,—,—,361,8,193,25.5,A,"6' 3""",240,,UTAH,2023,1,26
14,Mike Gesicki,CIN,88,71.5,-,-,71.1,56.0,61.4,523,—,—,439,11,73,29.5,A,"6' 6""",245,4.5,PENN STATE,2018,2,42
16,Noah Gray,KC,83,71.3,-,-,73.2,71.4,58.6,739,—,—,375,37,327,26.0,A,"6' 3""",240,,DUKE,2021,5,163
17,Darnell Washington,PIT,80,71.2,-,-,69.9,68.3,67.2,602,—,—,177,80,345,23.7,A,"6' 6""",264,4.6,GEORGIA,2023,3,94
18,Foster Moreau,NO,87,71.1,-,-,75.9,71.9,58.4,752,—,—,307,90,355,28.0,A,"6' 4""",250,,LSU,2019,4,137
19,Hunter Henry,NE,85,70.0,-,-,73.4,58.3,55.2,835,—,—,527,29,279,30.4,A,"6' 5""",258,,ARKANSAS,2016,2,35
20,Charlie Kolar,BLT,88,69.3,-,62.6,77.3,53.8,61.9,285,—,1,54,16,214,26.2,A,"6' 6""",257,,IOWA STATE,2022,4,128
20,Chris Manhertz,NYG,85,69.3,-,-,66.3,72.4,63.8,343,—,—,60,80,203,33.0,A,"6' 6""",235,,CANISIUS,2015,,
22,Andrew Ogletree,IND,85,69.1,-,-,58.5,72.4,70.3,439,—,—,121,54,264,0.0,A,"6' 5""",260,,YNGTOWN ST,2022,6,192
23,Tucker Kraft,GB,85,67.8,-,82.1,71.0,61.0,54.3,987,—,5,513,28,441,24.5,A,"6' 5""",259,4.7,S DAK ST,2023,3,79
24,Pat Freiermuth,PIT,88,67.2,-,-,70.0,52.6,44.7,802,—,—,496,21,285,26.5,A,"6' 5""",258,,PENN STATE,2021,2,55
24,Jordan Akins,CLV,88,67.2,-,-,69.9,75.6,41.0,456,—,—,337,16,103,33.0,A,"6' 4""",245,,UCF,2018,3,98
26,Will Dissly,LAC,89,67.1,-,-,68.0,69.9,62.0,579,—,—,338,26,215,28.8,A,"6' 4""",265,4.9,WASHINGTON,2018,4,120
27,Zach Ertz,WAS,86,67.0,-,-,72.5,64.7,41.3,928,—,—,652,15,261,34.4,A,"6' 5""",250,4.8,STANFORD,2013,2,35
28,Juwan Johnson,NO,83,66.7,-,-,71.3,20.0,52.4,696,—,—,442,26,228,28.6,A,"6' 4""",231,,OREGON,2020,,
29,Hunter Long,JAX,84,66.6,-,-,62.7,73.4,68.1,307,—,—,83,27,197,26.7,A,"6' 5""",253,,BOSTON COL,2021,3,82
30,Noah Fant,SEA,87,66.0,-,-,70.2,34.5,42.3,567,—,—,416,23,128,27.4,A,"6' 4""",249,,IOWA,2019,1,20
30,Brenton Strange,JAX,85,66.0,-,-,68.2,53.6,56.5,576,—,—,290,40,246,24.3,A,"6' 4""",247,4.7,PENN STATE,2023,2,62
32,Josh Whyle,TEN,81,64.8,-,-,69.4,62.0,49.5,346,—,—,182,25,139,25.6,A,"6' 6""",248,4.7,CINCINNATI,2023,5,149
33,Mo Alie-Cox,IND,81,64.5,-,-,58.0,75.0,64.2,475,—,—,159,69,247,31.6,A,"6' 5""",267,,VIRGINIA COMMONWEALTH,2017,,
34,Cade Otton,TB,88,64.1,-,-,63.1,62.0,65.2,899,—,—,513,60,326,26.0,A,"6' 5""",247,,WASHINGTON,2022,4,106
35,David Njoku,CLV,85,64.0,-,-,65.3,78.5,52.7,590,—,—,403,13,174,28.8,A,"6' 4""",246,4.6,MIAMI FL,2017,1,29
