Rank,Player,Team,Jersey,Overall,Passing,Rushing,Receiving,PassBlock,RunBlock,Snaps,Passes,Rushes,Receptions,PassBlocks,RunBlocks,Age,GradeLevel,Height,Weight,Speed,College,DraftYear,DraftRound,DraftPick
1,Puka Nacua,LA,12,92.5,-,55.6,92.6,75.5,72.6,594,0,11,371,3,209,23.9,A,"6' 2""",205,,BYU,2023,5,179
2,Nico Collins,HST,12,92.3,-,-,92.3,75.8,67.2,622,0,0,446,2,174,26.1,A,"6' 4""",215,,MICHIGAN,2021,3,90
3,Mike Evans,TB,13,90.4,-,-,90.2,-,66.5,707,0,0,463,0,244,31.7,A,"6' 5""",231,4.5,TEXAS A&M,2014,1,7
4,A.J. Brown,PHI,11,90.2,-,-,90.9,-,54.4,1010,0,0,505,0,505,27.8,A,"6' 1""",226,,OLE MISS,2019,2,51
5,Amon-Ra St. Brown,DET,14,89.3,60.5,58.8,90.2,76.2,52.9,1075,1,2,615,2,455,25.5,A,"6' 1""",202,,USC,2021,4,113
6,Tee Higgins,CIN,5,88.2,-,-,88.3,-,52.2,635,0,0,476,0,159,26.2,A,"6' 4""",219,,CLEMSON,2020,2,33
7,Drake London,ATL,5,87.8,-,60.0,90.1,75.7,49.5,1032,0,1,587,8,436,23.7,A,"6' 4""",213,,USC,2022,1,8
8,Malik Nabers,NYG,1,86.7,60.0,50.7,87.1,-,61.4,882,1,4,601,0,276,21.7,A,"6' 0""",200,,LSU,2024,1,6
9,Justin Jefferson,MIN,18,86.6,60.3,58.3,88.0,-,52.6,1111,1,0,709,0,400,25.8,A,"6' 1""",195,,LSU,2020,1,22
10,Chris Godwin,TB,14,86.3,-,62.0,85.7,71.5,62.7,397,0,1,258,7,131,29.1,A,"6' 1""",208,4.4,PENN STATE,2017,3,84
11,Ja'Marr Chase,CIN,1,85.8,-,75.0,84.9,-,63.2,1053,0,3,758,0,292,25.1,A,"6' 0""",201,,LSU,2021,1,5
12,Josh Downs,IND,1,84.8,-,-,85.1,64.5,62.5,602,0,0,385,1,216,23.7,A,"5' 9""",171,4.5,N CAROLINA,2023,3,80
13,Ladd McConkey,LAC,15,84.3,-,-,85.0,-,49.6,784,0,0,554,0,230,23.4,A,"6' 0""",185,,GEORGIA,2024,2,34
14,Jauan Jennings,SF,15,83.1,-,-,83.7,74.8,73.8,689,0,0,457,2,230,27.8,A,"6' 3""",212,,TENNESSEE,2020,7,217
15,Chris Olave,NO,12,82.4,-,-,83.0,39.9,55.1,315,0,0,201,1,113,24.8,A,"6' 1""",187,,OHIO STATE,2022,1,11
16,Zay Flowers,BLT,4,82.1,-,68.6,83.8,-,46.5,832,0,9,500,0,323,24.6,A,"5' 9""",182,4.4,BOSTON COL,2023,1,23
16,Terry McLaurin,WAS,17,82.1,-,39.6,84.8,67.0,43.6,1124,0,1,715,2,406,29.6,A,"6' 0""",210,,OHIO STATE,2019,3,76
18,Brian Thomas Jr.,JAX,7,82.0,-,62.8,83.4,-,49.7,822,0,6,553,0,263,22.5,A,"6' 4""",205,,LSU,2024,1,23
19,DeVonta Smith,PHI,6,81.2,-,-,83.5,-,52.2,1028,0,0,535,0,493,26.4,A,"6' 0""",170,,ALABAMA,2021,1,10
20,Jaxon Smith-Njigba,SEA,11,81.0,59.7,50.6,83.5,-,44.3,945,1,5,670,0,269,23.2,A,"6' 0""",196,,OHIO STATE,2023,1,20
21,Stefon Diggs,NE,8,79.0,60.4,64.9,79.7,-,53.3,430,1,2,286,0,140,31.4,A,"6' 0""",191,4.5,MARYLAND,2015,5,146
22,Garrett Wilson,NYJ,5,78.9,-,62.1,79.3,-,61.1,1026,0,1,696,0,329,24.7,A,"6' 0""",192,,OHIO STATE,2022,1,10
22,Khalil Shakir,BUF,10,78.9,-,56.6,80.1,61.6,49.1,723,0,1,497,1,224,25.2,A,"6' 0""",190,,BOISE ST,2022,5,148
24,George Pickens,PIT,14,78.6,-,56.6,79.7,-,63.6,809,0,1,498,0,310,24.1,A,"6' 3""",200,,GEORGIA,2022,2,52
25,Jordan Whittington,LA,88,78.3,-,72.0,78.9,78.9,61.4,301,0,3,129,6,163,24.5,A,"6' 1""",204,,TEXAS,2024,6,214
26,DeAndre Hopkins,BLT,10,77.8,-,-,77.0,-,58.1,582,0,0,438,0,144,32.9,A,"6' 1""",212,4.6,CLEMSON,2013,1,27
27,Jakobi Meyers,LV,16,77.7,60.0,68.0,78.5,70.7,45.9,898,1,2,625,2,268,28.4,A,"6' 2""",200,,NC STATE,2019,,
27,Marvin Harrison Jr.,ARZ,18,77.7,-,-,77.2,-,64.0,865,0,0,579,0,286,22.7,A,"6' 4""",205,,OHIO STATE,2024,1,4
